Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13
7.900000e+002	1.0656e-020	-9.7887e-026	7.1221e-014	3.3342e-010	1.0355e-007	7.3387e-006	1.9189e-004	2.3211e-003	1.4438e-002	4.7101e-002	7.2312e-002	2.3896e-002	-5.0600e-002
8.000000e+002	3.9679e-021	-4.0386e-026	3.3598e-014	1.7876e-010	6.0982e-008	4.6786e-006	1.3160e-004	1.7106e-003	1.1481e-002	4.0944e-002	7.1567e-002	3.7685e-002	-4.0433e-002
8.100000e+002	1.4742e-021	-1.6621e-026	1.5802e-014	9.5484e-011	3.5752e-008	2.9671e-006	8.9693e-005	1.2510e-003	9.0406e-003	3.5105e-002	6.9028e-002	4.9400e-002	-2.6816e-002
8.200000e+002	5.4657e-022	-6.8238e-027	7.4098e-015	5.0816e-011	2.0870e-008	1.8720e-006	6.0759e-005	9.0823e-004	7.0534e-003	2.9716e-002	6.5107e-002	5.8647e-002	-1.1045e-002
8.300000e+002	2.0222e-022	-2.7948e-027	3.4646e-015	2.6948e-011	1.2131e-008	1.1753e-006	4.0919e-005	6.5474e-004	5.4546e-003	2.4854e-002	6.0205e-002	6.5254e-002	5.5572e-003
8.400000e+002	7.4664e-023	-1.1420e-027	1.6153e-015	1.4241e-011	7.0225e-009	7.3432e-007	2.7401e-005	4.6880e-004	4.1828e-003	2.0556e-002	5.4690e-002	6.9241e-002	2.1768e-002
8.500000e+002	2.7513e-023	-4.6557e-028	7.5105e-016	7.5003e-012	4.0490e-009	4.5665e-007	1.8248e-005	3.3348e-004	3.1818e-003	1.6820e-002	4.8878e-002	7.0779e-002	3.6549e-002
8.600000e+002	1.0118e-023	-1.8938e-028	3.4826e-016	3.9371e-012	2.3254e-009	2.8268e-007	1.2088e-005	2.3572e-004	2.4016e-003	1.3625e-002	4.3032e-002	7.0146e-002	4.9101e-002
8.700000e+002	3.7141e-024	-7.6865e-029	1.6106e-016	2.0600e-012	1.3304e-009	1.7422e-007	7.9661e-006	1.6560e-004	1.7992e-003	1.0931e-002	3.7353e-002	6.7685e-002	5.8884e-002
8.800000e+002	1.3608e-024	-3.1130e-029	7.4291e-017	1.0744e-012	7.5835e-010	1.0690e-007	5.2233e-006	1.1564e-004	1.3381e-003	8.6868e-003	3.1988e-002	6.3766e-002	6.5614e-002
8.900000e+002	4.9763e-025	-1.2581e-029	3.4181e-017	5.5866e-013	4.3069e-010	6.5323e-008	3.4080e-006	8.0287e-005	9.8810e-004	6.8399e-003	2.7035e-002	5.8757e-002	6.9234e-002
9.000000e+002	1.8165e-025	-5.0743e-030	1.5687e-017	2.8960e-013	2.4373e-010	3.9750e-008	2.2128e-006	5.5418e-005	7.2443e-004	5.3355e-003	2.2548e-002	5.3002e-002	6.9874e-002
9.100000e+002	6.6193e-026	-2.0424e-030	7.1820e-018	1.4967e-013	1.3745e-010	2.4089e-008	1.4297e-006	3.8027e-005	5.2719e-004	4.1214e-003	1.8548e-002	4.6801e-002	6.7809e-002
9.200000e+002	2.4078e-026	-8.2041e-031	3.2802e-018	7.7128e-014	7.7236e-011	1.4536e-008	9.1908e-007	2.5928e-005	3.8052e-004	3.1488e-003	1.5025e-002	4.0406e-002	6.3406e-002
9.300000e+002	8.7434e-027	-3.2891e-031	1.4945e-018	3.9625e-014	4.3240e-011	8.7314e-009	5.8736e-007	1.7545e-005	2.7193e-004	2.3739e-003	1.1953e-002	3.4011e-002	5.7082e-002
9.400000e+002	3.1696e-027	-1.3160e-031	6.7923e-019	2.0288e-014	2.4097e-011	5.2130e-009	3.7239e-007	1.1749e-005	1.9169e-004	1.7579e-003	9.2884e-003	2.7757e-002	4.9261e-002
9.500000e+002	1.1468e-027	-5.2530e-032	3.0765e-019	1.0333e-014	1.3329e-011	3.0809e-009	2.3295e-007	7.7327e-006	1.3219e-004	1.2666e-003	6.9776e-003	2.1728e-002	4.0350e-002
9.600000e+002	4.1358e-028	-2.0870e-032	1.3829e-019	5.1985e-015	7.2472e-012	1.7804e-009	1.4169e-007	4.9187e-006	8.7538e-005	8.7015e-004	4.9606e-003	1.5964e-002	3.0705e-002
9.700000e+002	1.4697e-028	-8.1271e-033	6.0354e-020	2.5094e-015	3.7413e-012	9.6745e-010	8.0288e-008	2.8887e-006	5.3050e-005	5.4236e-004	3.1720e-003	1.0456e-002	2.0622e-002
9.800000e+002	4.6746e-029	-2.7821e-033	2.2562e-020	1.0104e-015	1.5798e-012	4.2316e-010	3.6118e-008	1.3304e-006	2.4930e-005	2.5943e-004	1.5416e-003	5.1572e-003	1.0326e-002
9.900000e+002	-3.7272e-031	1.9804e-035	-1.3952e-022	-5.5210e-018	-7.9516e-015	-2.0008e-012	-1.6229e-010	-5.7235e-009	-1.0325e-007	-1.0386e-006	-5.9841e-006	-1.9447e-005	-3.7782e-005
1.000000e+003	2.8865e-030	-1.7108e-034	1.3816e-021	6.1694e-017	9.6305e-014	2.5767e-011	2.1976e-009	8.0891e-008	1.5150e-006	1.5759e-005	9.3610e-005	3.1305e-004	6.2661e-004
