Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14	el Psi 15	el Psi 16	el Psi 17
7.100000e+002	3.7436e-023	1.6642e-015	1.0181e-010	5.6113e-008	-2.1607e-009	4.5304e-006	1.6747e-006	1.1955e-004	1.4379e-003	9.2469e-003	3.3956e-002	7.0041e-002	6.6548e-002	-9.2920e-003	-5.6520e-002	1.1334e-002	4.8034e-002
7.200000e+002	1.3183e-023	6.6649e-016	4.8904e-011	3.0045e-008	-3.7758e-009	2.6420e-006	1.0343e-006	7.5263e-005	9.7545e-004	6.7833e-003	2.7228e-002	6.3026e-002	7.3561e-002	1.1354e-002	-5.5729e-002	-1.1537e-002	5.1822e-002
7.300000e+002	4.6245e-024	2.6570e-016	2.3351e-011	1.5973e-008	-6.6535e-009	1.5280e-006	6.3285e-007	4.6924e-005	6.5412e-004	4.9064e-003	2.1436e-002	5.5173e-002	7.6336e-002	3.0874e-002	-4.7208e-002	-3.2369e-002	4.4492e-002
7.400000e+002	1.6160e-024	1.0544e-016	1.1084e-011	8.4325e-009	-1.1820e-008	8.7648e-007	3.8370e-007	2.8980e-005	4.3378e-004	3.5013e-003	1.6587e-002	4.7118e-002	7.5452e-002	4.7628e-002	-3.2594e-002	-4.7795e-002	2.8046e-002
7.500000e+002	5.6259e-025	4.1659e-017	5.2311e-012	4.4212e-009	-2.1168e-008	4.9878e-007	2.3057e-007	1.7733e-005	2.8457e-004	2.4665e-003	1.2628e-002	3.9344e-002	7.1675e-002	6.0574e-002	-1.4087e-002	-5.5696e-002	6.1226e-003
7.600000e+002	1.9512e-025	1.6386e-017	2.4548e-012	2.3024e-009	-3.8203e-008	2.8163e-007	1.3736e-007	1.0753e-005	1.8474e-004	1.7160e-003	9.4675e-003	3.2180e-002	6.5833e-002	6.9253e-002	5.9680e-003	-5.5361e-002	-1.6938e-002
7.700000e+002	6.7425e-026	6.4174e-018	1.1455e-012	1.1911e-009	-6.9475e-008	1.5781e-007	8.1137e-008	6.4638e-006	1.1871e-004	1.1796e-003	6.9943e-003	2.5819e-002	5.8720e-002	7.3712e-002	2.5424e-002	-4.7363e-002	-3.7012e-002
7.800000e+002	2.3214e-026	2.5024e-018	5.3156e-013	6.1216e-010	-1.2729e-007	8.7759e-008	4.7529e-008	3.8521e-006	7.5532e-005	8.0152e-004	5.0953e-003	2.0347e-002	5.1026e-002	7.4373e-002	4.2566e-002	-3.3257e-002	-5.0912e-002
7.900000e+002	7.9631e-027	9.7164e-019	2.4532e-013	3.1260e-010	-2.3495e-007	4.8446e-008	2.7617e-008	2.2763e-006	4.7596e-005	5.3854e-004	3.6624e-003	1.5766e-002	4.3306e-002	7.1902e-002	5.6235e-002	-1.5173e-002	-5.6797e-002
8.000000e+002	2.7218e-027	3.7568e-019	1.1261e-013	1.5862e-010	-4.3678e-007	2.6550e-008	1.5919e-008	1.3341e-006	2.9712e-005	3.5793e-004	2.5987e-003	1.2022e-002	3.5970e-002	6.7074e-002	6.5840e-002	4.5830e-003	-5.4270e-002
8.100000e+002	9.2700e-028	1.4465e-019	5.1416e-014	7.9985e-011	-8.1776e-007	1.4447e-008	9.1042e-009	7.7561e-007	1.8378e-005	2.3539e-004	1.8212e-003	9.0298e-003	2.9287e-002	6.0671e-002	7.1300e-002	2.3877e-002	-4.4210e-002
8.200000e+002	3.1461e-028	5.5462e-020	2.3352e-014	4.0085e-011	-1.5417e-006	7.8061e-009	5.1670e-009	4.4735e-007	1.1265e-005	1.5322e-004	1.2611e-003	6.6847e-003	2.3406e-002	5.3405e-002	7.2930e-002	4.0981e-002	-2.8424e-002
8.300000e+002	1.0640e-028	2.1178e-020	1.0551e-014	1.9967e-011	-2.9265e-006	4.1889e-009	2.9104e-009	2.5601e-007	6.8452e-006	9.8740e-005	8.6319e-004	4.8807e-003	1.8382e-002	4.5873e-002	7.1318e-002	5.4707e-002	-9.2181e-003
8.400000e+002	3.5857e-029	8.0543e-021	4.7425e-015	9.8864e-012	-5.5925e-006	2.2325e-009	1.6272e-009	1.4540e-007	4.1238e-006	6.3014e-005	5.8423e-004	3.5165e-003	1.4201e-002	3.8534e-002	6.7189e-002	6.4425e-002	1.1012e-002
8.500000e+002	1.2042e-029	3.0507e-021	2.1208e-015	4.8662e-012	-1.0758e-005	1.1819e-009	9.0316e-010	8.1959e-008	2.4634e-006	3.9834e-005	3.9114e-004	2.5014e-003	1.0802e-002	3.1709e-002	6.1306e-002	7.0014e-002	3.0119e-002
8.600000e+002	4.0306e-030	1.1509e-021	9.4366e-016	2.3812e-012	-2.0831e-005	6.2161e-010	4.9770e-010	4.5858e-008	1.4595e-006	2.4947e-005	2.5911e-004	1.7576e-003	8.0945e-003	2.5599e-002	5.4382e-002	7.1755e-002	4.6431e-002
8.700000e+002	1.3444e-030	4.3246e-022	4.1778e-016	1.1585e-012	-4.0596e-005	3.2480e-010	2.7233e-010	2.5473e-008	8.5770e-007	1.5483e-005	1.6989e-004	1.2203e-003	5.9801e-003	2.0297e-002	4.7029e-002	7.0205e-002	5.8856e-002
8.800000e+002	4.4693e-031	1.6186e-022	1.8405e-016	5.6041e-013	-7.9615e-005	1.6862e-010	1.4798e-010	1.4049e-008	5.0005e-007	9.5239e-006	1.1027e-004	8.3753e-004	4.3580e-003	1.5822e-002	3.9733e-002	6.6074e-002	6.6889e-002
8.900000e+002	1.4807e-031	6.0344e-023	8.0685e-017	2.6957e-013	-1.5712e-004	8.6988e-011	7.9858e-011	7.6937e-009	2.8926e-007	5.8075e-006	7.0879e-005	5.6839e-004	3.1340e-003	1.2133e-002	3.2845e-002	6.0112e-002	7.0536e-002
